symbol,budgetQuote,scenario,name,fromAt,toAt,preBenchmarkCashWaitMs,netPnlQuote,alphaQuote,feesQuote,totalGasWithExitQuote,entries,recenters,partialFailures,outsideMs,holdingMs,fullWindowMs,drawdownPpm,maximumLiquidityToExistingPpm,sourceGapMs,invalid
GOOGL,5000000000,pinned_fork_costs,fixed_40,1785842666000,1789154999000,645866000,554962765,734990994,2340132518,40795191,1,183,0,230889000,3206683000,3958199000,150302,1720551471,375843000,
GOOGL,5000000000,pinned_fork_costs,fixed_80,1785842666000,1789154999000,645866000,573706747,753734976,1411806896,7820001,1,34,0,1602029000,3208073000,3958199000,76840,2197496,375843000,
GOOGL,5000000000,pinned_fork_costs,fixed_160,1785842666000,1789154999000,645866000,379752471,559780700,792054109,1623321,1,6,0,1360269000,3208894000,3958199000,65304,10372091,375843000,
GOOGL,5000000000,pinned_fork_costs,adaptive_width,1785842666000,1789154999000,645866000,736034009,916062238,1595554746,18221571,1,81,0,1834508000,3184220000,3958199000,68852,9558874,375843000,
GOOGL,5000000000,pinned_fork_costs,adaptive_economic,1785842666000,1789154999000,645866000,527874183,707902412,1127358296,8262621,1,36,0,2689747000,3184220000,3958199000,68852,9558874,375843000,
GOOGL,5000000000,double_gas_half_fees,fixed_20,1785842666000,1789154999000,645866000,-1693879535,-1513748859,1352705952,276343182,1,623,0,611467000,3206683000,3958199000,380078,3241636045,375843000,
GOOGL,5000000000,double_gas_half_fees,fixed_40,1785842666000,1789154999000,645866000,-659404790,-479274114,1057911115,81590382,1,183,0,230889000,3206683000,3958199000,185577,1714674287,375843000,
GOOGL,5000000000,double_gas_half_fees,fixed_80,1785842666000,1789154999000,645866000,-148282548,31848128,666354817,15640002,1,34,0,1602029000,3208073000,3958199000,80355,2188117,375843000,
GOOGL,5000000000,double_gas_half_fees,fixed_160,1785842666000,1789154999000,645866000,-23351241,156779435,385111635,3246642,1,6,0,1360269000,3208894000,3958199000,66255,10372091,375843000,
GOOGL,5000000000,double_gas_half_fees,adaptive_width,1785842666000,1789154999000,645866000,-18530436,161600240,499363130,9885942,1,21,0,1829759000,3184220000,3958199000,69461,9558874,375843000,
GOOGL,5000000000,double_gas_half_fees,adaptive_economic,1785842666000,1789154999000,645866000,-197600467,-17469791,235580172,3689262,1,7,0,2647934000,3184220000,3958199000,69461,9558874,375843000,
GOOGL,5000000000,partial_mint_failure,fixed_20,1785842666000,1789154999000,645866000,-193061481,-13033252,2533061102,130635614,102,407,101,565712000,2938746000,3958199000,252376,3305524565,375843000,
GOOGL,5000000000,partial_mint_failure,fixed_40,1785842666000,1789154999000,645866000,634205814,814234043,2266982868,43107540,34,134,33,244802000,3137424000,3958199000,139622,1719839755,375843000,
GOOGL,5000000000,partial_mint_failure,fixed_80,1785842666000,1789154999000,645866000,532665215,712693444,1394886250,9725542,8,30,7,1602379000,3201671000,3958199000,76840,2197496,375843000,
GOOGL,5000000000,partial_mint_failure,fixed_160,1785842666000,1789154999000,645866000,375969928,555998157,791340996,1800694,2,5,1,1360262000,3207914000,3958199000,65304,10372091,375843000,
GOOGL,5000000000,partial_mint_failure,adaptive_width,1785842666000,1789154999000,645866000,749818666,929846895,1658174202,21502159,17,67,16,1834560000,3159702000,3958199000,68852,9558874,375843000,
GOOGL,5000000000,partial_mint_failure,adaptive_economic,1785842666000,1789154999000,645866000,731171113,911199342,1300075515,8220309,7,25,6,2485015000,3169882000,3958199000,68852,9558874,375843000,
GOOGL,1000000000,pinned_fork_costs,fixed_20,1785842666000,1789154999000,645866000,153966437,188710170,1037123238,155655081,1,702,0,367702000,3260193000,3958199000,344836,602833414,375843000,
GOOGL,1000000000,pinned_fork_costs,fixed_40,1785842666000,1789154999000,645866000,254988138,289731871,708655430,46770561,1,210,0,164958000,3266278000,3958199000,167275,328431812,375843000,
GOOGL,1000000000,pinned_fork_costs,fixed_80,1785842666000,1789154999000,645866000,167892506,202636239,401125304,11803581,1,52,0,114873000,3266278000,3958199000,103150,170798043,375843000,
GOOGL,1000000000,pinned_fork_costs,fixed_160,1785842666000,1789154999000,645866000,49145342,83889075,196688130,3172491,1,13,0,500527000,3266278000,3958199000,98093,7071890,375843000,
GOOGL,1000000000,pinned_fork_costs,adaptive_width,1785842666000,1789154999000,645866000,326388457,361132190,685208517,41016501,1,184,0,1678610000,3252794000,3958199000,101622,14101858,375843000,
GOOGL,1000000000,pinned_fork_costs,adaptive_economic,1785842666000,1789154999000,645866000,97070174,131813907,224541775,4500351,1,19,0,1947069000,3252794000,3958199000,101622,14101858,375843000,
GOOGL,1000000000,double_gas_half_fees,fixed_20,1785842666000,1789154999000,645866000,-541694807,-506848627,400805478,311752782,1,703,0,367592000,3260193000,3958199000,560815,590162789,375843000,
GOOGL,1000000000,double_gas_half_fees,fixed_40,1785842666000,1789154999000,645866000,-160932043,-126085863,302204754,93541122,1,210,0,164958000,3266278000,3958199000,227138,323114312,375843000,
GOOGL,1000000000,double_gas_half_fees,fixed_80,1785842666000,1789154999000,645866000,-49989560,-15143380,183649948,23607162,1,52,0,114873000,3266278000,3958199000,120050,168787261,375843000,
GOOGL,1000000000,double_gas_half_fees,fixed_160,1785842666000,1789154999000,645866000,-54048566,-19202386,94251945,6344982,1,13,0,500527000,3266278000,3958199000,101179,7071890,375843000,
GOOGL,1000000000,double_gas_half_fees,adaptive_width,1785842666000,1789154999000,645866000,-52365769,-17519589,134154243,21836682,1,48,0,1668481000,3252794000,3958199000,103863,14101858,375843000,
GOOGL,1000000000,double_gas_half_fees,adaptive_economic,1785842666000,1789154999000,645866000,-57280410,-22434230,63385199,4131882,1,8,0,2651758000,3252794000,3958199000,104794,14101858,375843000,
GOOGL,1000000000,partial_mint_failure,fixed_20,1785842666000,1789154999000,645866000,156645059,191388792,853400352,129351691,101,403,100,313914000,2843265000,3958199000,244299,14546265,375843000,
GOOGL,1000000000,partial_mint_failure,fixed_40,1785842666000,1789154999000,645866000,234326208,269069941,643306752,48243232,38,150,37,177186000,3057658000,3958199000,143743,13207654,375843000,
GOOGL,1000000000,partial_mint_failure,fixed_80,1785842666000,1789154999000,645866000,173371961,208115694,394301233,13134691,11,40,10,116714000,3181607000,3958199000,94693,14116048,375843000,
GOOGL,1000000000,partial_mint_failure,fixed_160,1785842666000,1789154999000,645866000,48825088,83568821,196463653,3527237,3,11,2,500700000,3264323000,3958199000,98093,7071890,375843000,
GOOGL,1000000000,partial_mint_failure,adaptive_width,1785842666000,1789154999000,645866000,240208219,274951952,503448872,27921774,22,87,21,1617487000,3221004000,3958199000,101622,14101858,375843000,
GOOGL,1000000000,partial_mint_failure,adaptive_economic,1785842666000,1789154999000,645866000,106139311,140883044,235123163,5873773,5,18,4,1901476000,3246813000,3958199000,101622,14101858,375843000,
GOOGL,250000000,pinned_fork_costs,fixed_20,1785842666000,1789154999000,645866000,-284653,8414990,361231977,160523901,1,724,0,311340000,3271005000,3958199000,485295,156048902,375843000,
GOOGL,250000000,pinned_fork_costs,fixed_40,1785842666000,1789154999000,645866000,66196580,74896223,222225721,49204971,1,221,0,85529000,3274603000,3958199000,190354,84592635,375843000,
GOOGL,250000000,pinned_fork_costs,fixed_80,1785842666000,1789154999000,645866000,37205240,45904883,112743313,14016681,1,62,0,43634000,3274603000,3958199000,114007,42957538,375843000,
GOOGL,250000000,pinned_fork_costs,fixed_160,1785842666000,1789154999000,645866000,18967134,27666777,57191002,3836421,1,16,0,8472000,3274756000,3958199000,81148,21897374,375843000,
GOOGL,250000000,pinned_fork_costs,adaptive_width,1785842666000,1789154999000,645866000,58965634,67665277,172138153,38139471,1,171,0,320863000,3252515000,3958199000,88356,501495,375843000,
