key,n,available,meanDelta,medianDelta,worstDelta,bestDelta,wins,recenterFills,trimFills,rejections,meanGas,meanFees,maxExposurePpm
550000/30/source_block_54/500000/0/guard60,12,12,0,0,0,0,0,0,0,0,1.124903,0.08431408333333335,793818
550000/30/source_block_54/500000/0/exit_early,12,12,0.16369466666666665,0.16517949999999998,-0.634159,0.873718,7,0,0,0,1.124903,0.013379166666666666,663109
550000/30/source_block_54/500000/0/recenter60,12,12,-0.58768325,0,-2.711198,0,0,3,0,8,1.632923,0.12689950000000003,798891
550000/30/source_block_54/500000/0/trim25,12,12,-0.5068783333333333,-0.439474,-1.645772,0.677255,1,0,7,4,1.695456083333333,0.13453933333333332,793818
550000/30/source_block_54/500000/0/hold80,12,12,-0.09536441666666666,0,-1.413198,2.048601,3,0,0,0,1.124903,0.17733583333333336,800376
550000/30/source_block_54/500000/600/recenter60,12,12,-0.36167808333333334,0,-2.316266,0,0,2,0,5,1.4635829999999999,0.08861325000000002,775821
550000/120/frozen_session6/1000000/0/guard60,10,10,0,0,0,0,0,0,0,0,0.333297,0.231655,775187
550000/120/frozen_session6/1000000/0/exit_early,10,10,-0.0024919000000000026,0.1378255,-1.452218,0.646143,7,0,0,0,0.333297,0.030467100000000004,662575
550000/120/frozen_session6/1000000/0/recenter60,10,10,-0.0038144,0,-0.038144,0,0,1,0,8,0.3970049,0.2757768,775187
550000/120/frozen_session6/1000000/0/trim25,10,10,0.21017039999999998,0,-0.645214,1.921875,3,0,6,3,0.5012118,0.42111219999999994,662575
550000/120/frozen_session6/1000000/0/hold80,10,10,0.3872349,0.015988,-1.751465,2.792509,5,0,0,0,0.333297,0.5634429000000001,796827
550000/120/frozen_session6/1000000/600/recenter60,10,10,-0.0037282999999999995,0,-0.037283,0,0,1,0,5,0.3970049,0.2757765,775187
550000/120/frozen_session6/500000/0/guard60,10,10,0,0,0,0,0,0,0,0,0.333297,0.11582300000000004,775178
550000/120/frozen_session6/500000/0/exit_early,10,10,0.09806619999999999,0.169497,-0.994258,0.682306,7,0,0,0,0.333297,0.015233,662569
550000/120/frozen_session6/500000/0/recenter60,10,10,-0.025874599999999998,0,-0.258746,0,0,1,0,8,0.3970049,0.13788160000000002,775178
550000/120/frozen_session6/500000/0/trim25,10,10,0.11544780000000002,0,-0.530907,1.362266,3,0,6,3,0.5012118,0.2105449,662569
550000/120/frozen_session6/500000/0/hold80,10,10,0.2213662,0.010187,-1.767551,2.037754,5,0,0,0,0.333297,0.281711,796820
550000/120/frozen_session6/500000/600/recenter60,10,10,-0.025788299999999997,0,-0.257883,0,0,1,0,5,0.3970049,0.13788150000000002,775178
550000/120/source_block_54/1000000/0/guard60,10,10,0,0,0,0,0,0,0,0,1.124903,0.231655,775829
550000/120/source_block_54/1000000/0/exit_early,10,10,-0.0024919000000000026,0.1378255,-1.452218,0.646143,7,0,0,0,1.124903,0.030467100000000004,663114
550000/120/source_block_54/1000000/0/recenter60,10,10,-0.14331449999999998,0,-1.433145,0,0,1,0,8,1.3281109999999998,0.2757768,775829
550000/120/source_block_54/1000000/0/trim25,10,10,-0.2087694,0,-1.343447,1.223642,2,0,6,3,1.7117575999999997,0.42111219999999994,663114
550000/120/source_block_54/1000000/0/hold80,10,10,0.3872349,0.015988,-1.751465,2.792509,5,0,0,0,1.124903,0.5634429000000001,797487
550000/120/source_block_54/1000000/600/recenter60,10,10,-0.14322839999999998,0,-1.432284,0,0,1,0,5,1.3281109999999998,0.2757765,775829
550000/120/source_block_54/500000/0/guard60,10,10,0,0,0,0,0,0,0,0,1.124903,0.11582300000000004,775821
550000/120/source_block_54/500000/0/exit_early,10,10,0.09806619999999999,0.169497,-0.994258,0.682306,7,0,0,0,1.124903,0.015233,663109
550000/120/source_block_54/500000/0/recenter60,10,10,-0.1653747,0,-1.653747,0,0,1,0,8,1.3281109999999998,0.13788160000000002,775821
550000/120/source_block_54/500000/0/trim25,10,10,-0.30349200000000004,-0.0156575,-1.22914,0.664033,1,0,6,3,1.7117575999999997,0.2105449,663109
550000/120/source_block_54/500000/0/hold80,10,10,0.2213662,0.010187,-1.767551,2.037754,5,0,0,0,1.124903,0.281711,797481
550000/120/source_block_54/500000/600/recenter60,10,10,-0.1652884,0,-1.652884,0,0,1,0,5,1.3281109999999998,0.13788150000000002,775821
