horizonMinutes,regime,start,end,day,startCheckpoint,endCheckpoint,minutes,maxCheckpointGapSeconds,startTick,endTick,minTick,maxTick,absoluteReturnPct,returnPct,endpointTicks,peakExcursionTicks,downPriceTicks,upPriceTicks,swaps,volumeUsdg,cross10,cross20,cross30,cross40,cross50
30,weekend,2026-09-06T12:46:42.000Z,2026-09-06T13:18:12.000Z,2026-09-06,270,276,31.5,320.0,221867,221870,221866,221870,0.028190383803172736,-0.028190383803172736,3,3,3,1,1142,237355.96849399997,False,False,False,False,False
30,weekend,2026-09-06T13:18:12.000Z,2026-09-06T13:49:12.000Z,2026-09-06,276,282,31.0,310.0,221870,221878,221870,221879,0.08167800538263492,-0.08167800538263492,8,9,9,0,1356,538541.637401,False,False,False,False,False
30,weekend,2026-09-06T13:49:12.000Z,2026-09-06T14:20:22.000Z,2026-09-06,282,288,31.166666666666668,318.0,221878,221876,221875,221879,0.025512095276924995,0.025512095276924995,2,3,1,3,1286,419516.93495799997,False,False,False,False,False
30,weekend,2026-09-06T14:20:22.000Z,2026-09-06T14:51:32.000Z,2026-09-06,288,294,31.166666666666668,315.0,221876,221883,221876,221884,0.07466250020732312,-0.07466250020732312,7,8,8,0,1061,312136.73566099996,False,False,False,False,False
30,weekend,2026-09-06T14:51:32.000Z,2026-09-06T15:22:52.000Z,2026-09-06,294,300,31.333333333333332,320.0,221883,221883,221881,221883,0.0001674189298084272,-0.0001674189298084272,0,2,0,2,922,182668.87204800002,False,False,False,False,False
30,weekend,2026-09-06T15:22:52.000Z,2026-09-06T15:54:02.000Z,2026-09-06,300,306,31.166666666666668,315.0,221883,221881,221880,221884,0.022705500608077855,0.022705500608077855,2,3,1,3,7584,841046.782717,False,False,False,False,False
30,weekend,2026-09-06T15:54:02.000Z,2026-09-06T16:25:31.000Z,2026-09-06,306,312,31.483333333333334,320.0,221881,221882,221881,221882,0.007784158398005392,-0.007784158398005392,1,1,1,0,3630,417946.29108500003,False,False,False,False,False
30,weekend,2026-09-06T16:25:31.000Z,2026-09-06T16:56:31.000Z,2026-09-06,312,317,31.0,620.0,221882,221881,221881,221885,0.008013242388593689,0.008013242388593689,1,3,3,1,710,258222.87650100002,False,False,False,False,False
30,weekend,2026-09-06T16:56:31.000Z,2026-09-06T17:27:32.000Z,2026-09-06,317,322,31.016666666666666,621.0,221881,221881,221880,221881,0.00023915222360226807,0.00023915222360226807,0,1,0,1,852,178351.71295100002,False,False,False,False,False
30,weekend,2026-09-06T17:27:32.000Z,2026-09-06T17:59:01.000Z,2026-09-06,322,328,31.483333333333334,324.0,221881,221881,221881,221884,0.0014105827829347106,-0.0014105827829347106,0,3,3,0,1294,337130.553165,False,False,False,False,False
