window,cap,rangePolicy,kind,checkpoint,at,tokenIn,amountIn,amountOut,feeInput,feeQuote,spotShortfallQuote,impactBeyondFeeQuote
2026-09-08T20:00:07.000Z,600000,preserve_tokens,exit,3150,2026-09-09T07:51:01.000Z,NVDA,370503121203336024,83835973,185251560601669,41938,41965,27
2026-09-08T20:00:07.000Z,600000,net_swap,entry,2462,2026-09-08T20:01:07.000Z,USDG,389078542,1721867825070984732,194540,194540,195494,954
2026-09-08T20:00:07.000Z,600000,net_swap,exit,2694,2026-09-09T00:00:38.000Z,NVDA,2633292621514810568,593725217,1316646310757406,297012,299171,2159
2026-09-08T20:00:07.000Z,600000,net_swap,entry,2706,2026-09-09T00:12:55.000Z,USDG,426034697,1885420458830183788,213018,213018,213908,890
2026-09-08T20:00:07.000Z,600000,net_swap,recenter,2769,2026-09-09T01:17:31.000Z,USDG,185393612,819467305458576812,92697,92697,92863,166
2026-09-08T20:00:07.000Z,600000,net_swap,recenter,3064,2026-09-09T06:21:00.000Z,USDG,187650600,828589262937990559,93826,93826,93951,125
2026-09-08T20:00:07.000Z,600000,net_swap,exit,3150,2026-09-09T07:51:01.000Z,NVDA,1563700880277419827,353827675,781850440138710,177002,177456,454
2026-09-08T20:00:07.000Z,700000,hold_range,entry,2462,2026-09-08T20:01:07.000Z,USDG,389078542,1721867825070984732,194540,194540,195494,954
2026-09-08T20:00:07.000Z,700000,hold_range,exit,3150,2026-09-09T07:51:01.000Z,NVDA,10620020107426296,2403056,5310010053714,1202,1202,0
2026-09-08T20:00:07.000Z,700000,preserve_tokens,entry,2462,2026-09-08T20:01:07.000Z,USDG,389078542,1721867825070984732,194540,194540,195494,954
2026-09-08T20:00:07.000Z,700000,preserve_tokens,exit,3150,2026-09-09T07:51:01.000Z,NVDA,657344640237975361,148741298,328672320118988,74407,74488,81
2026-09-08T20:00:07.000Z,700000,net_swap,entry,2462,2026-09-08T20:01:07.000Z,USDG,389078542,1721867825070984732,194540,194540,195494,954
2026-09-08T20:00:07.000Z,700000,net_swap,recenter,2769,2026-09-09T01:17:31.000Z,USDG,203948723,901483569370374270,101975,101975,102176,201
2026-09-08T20:00:07.000Z,700000,net_swap,recenter,3064,2026-09-09T06:21:00.000Z,USDG,188080507,830487557151109939,94041,94041,94167,126
2026-09-08T20:00:07.000Z,700000,net_swap,exit,3150,2026-09-09T07:51:01.000Z,NVDA,1567322410619292271,354647138,783661205309647,177412,177869,457
2026-09-08T20:00:07.000Z,800000,hold_range,entry,2462,2026-09-08T20:01:07.000Z,USDG,389078542,1721867825070984732,194540,194540,195494,954
2026-09-08T20:00:07.000Z,800000,hold_range,exit,3150,2026-09-09T07:51:01.000Z,NVDA,10620020107426296,2403056,5310010053714,1202,1202,0
2026-09-08T20:00:07.000Z,800000,preserve_tokens,entry,2462,2026-09-08T20:01:07.000Z,USDG,389078542,1721867825070984732,194540,194540,195494,954
