symbol,budgetQuote,name,scenario,actions,availabilityBlockAnchored,terminalQuotesIndependentlyRecomputed,markedNavVerified,feeTokenTotalsVerified,gasVerified,weeklyAndRegimeNavVerified,invalidAt,capacityTimeMetricsIncludePostInvalidMarks,inRangeMs,above10PercentExistingMs,above100PercentExistingMs,feesQuote,modeledFeesAbove10PercentExistingQuote,modeledFeesAbove100PercentExistingQuote
GLD,250000000,fixed_160,double_gas_half_fees,35,True,True,True,True,True,True,,False,1061415000,7303000,202000,50673709,4679759,380195
GLD,250000000,adaptive_width,double_gas_half_fees,324,True,True,True,True,True,True,,False,1013965000,27424000,634000,133932091,82632278,768647
GLD,250000000,adaptive_economic,double_gas_half_fees,68,True,True,True,True,True,True,,False,14669000,12705000,0,27787587,25427764,0
GLD,250000000,fixed_20,partial_mint_failure,209,True,True,True,True,True,True,1788253610000,True,132167000,19871000,6350000,36030718,32079239,4045840
GLD,250000000,fixed_40,partial_mint_failure,142,True,True,True,True,True,True,1788146502000,True,321739000,21879000,10925000,61372212,40790251,6731948
GLD,250000000,fixed_80,partial_mint_failure,73,True,True,True,True,True,True,,False,1030370000,69905000,314000,170509430,44466548,284414
GLD,250000000,fixed_160,partial_mint_failure,32,True,True,True,True,True,True,,False,1051616000,31274000,30000,101926797,17158147,197574
GLD,250000000,adaptive_width,partial_mint_failure,271,True,True,True,True,True,True,,False,892525000,13067000,202000,105466129,35792757,356188
GLD,250000000,adaptive_economic,partial_mint_failure,67,True,True,True,True,True,True,,False,73140000,15878000,26000,67076774,33695382,427695
GME,5000000000,fixed_20,pinned_fork_costs,2235,True,True,True,True,True,True,,False,3770001000,3530031000,289460000,12459794976,11703101934,1646940493
GME,5000000000,fixed_40,pinned_fork_costs,815,True,True,True,True,True,True,,False,3896244000,3418427000,284540000,11065967378,9948155000,1843646353
GME,5000000000,fixed_80,pinned_fork_costs,190,True,True,True,True,True,True,,False,3902241000,3136368000,183080000,8169867046,7014473742,802837204
GME,5000000000,fixed_160,pinned_fork_costs,60,True,True,True,True,True,True,,False,3811434000,970170000,46705000,3968954287,1473809902,73297371
GME,5000000000,adaptive_width,pinned_fork_costs,521,True,True,True,True,True,True,,False,3770350000,1818748000,115498000,9363626368,8000868280,622313592
