symbol,budgetQuote,width,count,emptyBoundaryMarks,meanAbsoluteErrorQuote,baselineMeanAbsoluteErrorQuote,relativeErrorReduction,meanPredictedQuote,meanActualQuote
GOOGL,1000000000,20,2049,0,425936.0224499756,475041.7496339678,0.10337139256040011,480570.4636408004,459551.63787213276
GOOGL,1000000000,40,2050,0,272213.0595121951,275942.80048780487,0.013516355451261682,292910.1287804878,287584.64780487807
GOOGL,1000000000,80,2050,0,150160.5287804878,150157.29463414635,-2.1538389788809885e-05,156633.6292682927,159254.9180487805
GOOGL,1000000000,160,2051,0,77898.21599219892,77898.25987323257,5.633121165162794e-07,80294.16235982448,83046.09361287177
GOOGL,5000000000,20,1619,0,1723106.7856701668,1923647.6139592342,0.10425029347049485,2076029.8721432984,1666536.3378628783
GOOGL,5000000000,40,1651,0,1127515.5947910356,1143510.9273167776,0.013987914014319616,1274785.0884312538,1052775.8849182313
GOOGL,5000000000,80,1725,0,641550.7443478261,641550.5333333333,-3.289132839735096e-07,705770.8428985507,619525.8330434783
GOOGL,5000000000,160,1818,0,347117.67656765674,347117.598459846,-2.2501829676063945e-07,378395.37843784376,353884.7337733773
LLY,250000000,20,1034,1,84333.94003868473,97492.00676982592,0.13496559530471847,111720.64410058028,108592.95551257253
LLY,250000000,40,1034,1,53511.8500967118,55265.67601547389,0.03173445156576088,66610.24081237911,64188.224371373304
LLY,250000000,80,1034,1,29214.449709864602,29214.459381044486,3.3104086431326845e-07,34897.56866537718,33845.925531914894
LLY,250000000,160,1034,1,14850.493230174081,14850.575435203094,5.535477690559634e-06,17517.218568665376,17207.90328820116
LLY,1000000000,20,1034,1,321802.3220502901,373365.63733075437,0.13810407312547002,428401.7911025145,410834.1827852998
LLY,1000000000,40,1034,1,208535.06092843326,215502.6586073501,0.032331840933860226,260474.2833655706,248836.80464216633
LLY,1000000000,80,1034,1,115244.55029013539,115244.48065764023,-6.042154450005212e-07,137999.28626692455,133149.16344294004
LLY,1000000000,160,1034,1,58957.69342359768,58957.70502901354,1.9684307343754129e-07,69664.11895551257,68229.13733075435
LLY,5000000000,20,1032,1,1335874.816860465,1575383.4544573643,0.15203196207198785,1814842.8255813953,1642463.7548449612
LLY,5000000000,40,1032,1,920268.5678294573,953997.7393410853,0.03535560947442521,1177553.8178294573,1071858.4224806202
LLY,5000000000,80,1033,1,537013.9845111326,537013.4443368829,-1.0058858962553659e-06,652874.8935140368,611931.4666021297
LLY,5000000000,160,1033,1,282756.3610842207,282756.1161665053,-8.661800802492221e-07,338074.9419167473,324793.8509196515
NVDA,250000000,20,6219,0,76095.24811062872,86496.38607493167,0.12024939348671118,98974.22785013668,89499.38977327544
NVDA,250000000,40,6219,0,46190.523717639495,47462.17768129925,0.02679299656662829,55728.537385431744,53826.92249557807
NVDA,250000000,80,6219,0,25486.28589805435,25542.47387039717,0.0021997858401625017,28928.41694806239,29129.136677922495
NVDA,250000000,160,6219,0,13049.1559736292,13049.23090529024,5.742228149888469e-06,14551.050651230102,14849.38141180254
NVDA,1000000000,20,6219,0,296060.0104518411,336668.2699790963,0.12061801823431874,386467.22254381736,348136.2112879884
NVDA,1000000000,40,6219,0,182031.91123974917,187062.3669400225,0.026891863834302185,220118.28284290078,212138.0670525808
NVDA,1000000000,80,6219,0,101170.36983437852,101394.42321916707,0.0022097209853864756,114976.16819424345,115635.3458755427
NVDA,1000000000,160,6219,0,51995.71892587233,51995.75526611995,6.989079674339318e-07,58019.62260813636,59171.661199549766
NVDA,5000000000,20,6219,0,1313287.8842257597,1495540.3288310019,0.12186394515198445,1738767.4902717478,1544295.2018009326
