symbol,phase,scenario,name,netPnlQuote,alphaQuote,feesQuote,totalGasWithExitQuote,entries,recenters,partialFailures,outsideMs,holdingMs,drawdownPpm,averageDeploymentPpm,maximumRiskyExposurePpm,partialFeeSegments,feeApportionmentGapQuote,sourceGapMs,invalid
AAPL,retrospective_test,partial_mint_failure,fixed_80,269650841,150638470,301597628,2905725,3,8,2,554000,210724000,11835,980432,998133,4,1,0,
AAPL,retrospective_test,partial_mint_failure,fixed_160,161140118,42127747,165104387,1601128,2,4,1,202000,213110000,12147,992401,998867,5,1,0,
AAPL,retrospective_test,partial_mint_failure,adaptive_width,189607865,70595494,398824187,14647098,12,44,11,3034000,196083000,11510,914956,1002294,13,2,0,
AAPL,retrospective_test,partial_mint_failure,adaptive_economic,63723421,-55288950,190610034,4210322,4,12,3,137400000,208802000,11510,971328,1000456,6,1,0,
GOOGL,retrospective_test,pinned_fork_costs,fixed_20,434257649,438497020,836084590,16229781,1,72,0,4597000,213649000,34581,994669,1002816,16,2,0,
GOOGL,retrospective_test,pinned_fork_costs,fixed_40,233092256,237331627,460701151,6270831,1,27,0,1489000,213784000,29217,993163,1000791,9,1,0,
GOOGL,retrospective_test,pinned_fork_costs,fixed_80,106152708,110392079,240235018,2508561,1,10,0,705000,214149000,23484,993265,1000002,0,0,0,
GOOGL,retrospective_test,pinned_fork_costs,fixed_160,24960983,29200354,122084059,1180701,1,4,0,216000,214149000,23426,996082,999933,0,0,0,
GOOGL,retrospective_test,pinned_fork_costs,adaptive_width,42238669,46478040,216852389,4721661,1,20,0,1295000,213784000,24877,991784,1000760,10,1,0,
GOOGL,retrospective_test,pinned_fork_costs,adaptive_economic,167938895,172178266,329426727,2951181,1,12,0,133065000,213784000,24157,994004,1000081,37,2,0,
GOOGL,retrospective_test,double_gas_half_fees,fixed_20,-2386027,1955791,403433500,32459562,1,72,0,4597000,213649000,39939,998675,1006303,16,1,0,
GOOGL,retrospective_test,double_gas_half_fees,fixed_40,-3938424,403394,226322463,12541662,1,27,0,1489000,213784000,32405,996638,1002001,9,1,0,
GOOGL,retrospective_test,double_gas_half_fees,fixed_80,-16038232,-11696414,119199459,5017122,1,10,0,705000,214149000,24832,996860,1000191,0,0,0,
GOOGL,retrospective_test,double_gas_half_fees,fixed_160,-37123210,-32781392,60810557,2361402,1,4,0,216000,214149000,24133,998113,1000020,0,0,0,
GOOGL,retrospective_test,double_gas_half_fees,adaptive_width,77313135,81654953,337663251,18295722,1,40,0,2050000,213784000,26144,998357,1002055,5,1,0,
GOOGL,retrospective_test,double_gas_half_fees,adaptive_economic,-84151168,-79809350,38694377,1918782,1,3,0,97368000,213784000,26144,993704,1000162,0,0,0,
GOOGL,retrospective_test,partial_mint_failure,fixed_20,355842006,360081377,709267679,16366467,13,51,12,4004000,194157000,29352,904182,1002933,5,1,0,
GOOGL,retrospective_test,partial_mint_failure,fixed_40,243711298,247950669,430910125,5873773,5,18,4,1291000,208767000,26627,967353,1000486,2,1,0,
GOOGL,retrospective_test,partial_mint_failure,fixed_80,132982438,137221809,240145879,2243314,2,7,1,571000,213239000,23484,987995,1000002,0,0,0,
GOOGL,retrospective_test,partial_mint_failure,fixed_160,24960983,29200354,122084059,1180701,1,4,0,216000,214149000,23426,996082,999933,0,0,0,
GOOGL,retrospective_test,partial_mint_failure,adaptive_width,13626524,17865895,177618066,4811160,4,15,3,1149000,207403000,24919,962106,1000833,10,1,0,
GOOGL,retrospective_test,partial_mint_failure,adaptive_economic,130157080,134396451,291353465,3748547,3,12,2,123832000,211361000,24157,982655,1000081,37,2,0,
